reference_code,main_heading,table_heading,question
Criteria - IPM Resp,IPM Responsibilities,Criteria:,"The Pest Control Responsible Officer (PCRO) takes responsibility on behalf of the Captain/Master for the Integrated Pest Management standards on the ship, liaising with the Pest Control Officer (PCO) who undertakes the day-to-day management of the IPM Plan. The PCO also liaises with the Department Heads to ensure that they follow the IPM Plan, undertaking:&bull;Cockroach Trap Monitoring&bull;Electric Fly Killer Weekly Count&bull;Active Weekly Pest Inspections&bull;Deliveries Inspections"
IPM Plan - IPM Resp,IPM Responsibilities,IPM Plan:,This is what should be followed in the IPM Plan for IPM responsibilities
Criteria - IPM Docs,IPM Documentation,Criteria:,"Public Health Authorities require IPM Documentation to be complete and available on request. The PCRO or PCO should be able to provide documentation for the last 12 months, except for IPM training, which should include all training completed in the previous 3 years.<br><br>Whilst Worldwide Public Health now accepts electronic filing, Nutrastat still recommends hardcopy folders due to the frequency of some of our contract ships losing valuable files, often resulting from server and/or backup failures, or the IT Department's purging of files to recover network drive storage space. However, if the ship only wishes to undertake electronic filing, this is acceptable and physical documents will not be audited.<br><br>However, if hardcopy folders are maintained, it is recommended that all hardcopy folders be stored in one location for easy access to show visiting Public Health Authorities, and that all electronic files be available at the same time."
IPM Plan - IPM Docs,IPM Documentation,IPM Plan:,This is what should be followed in the IPM Plan for IPM documentation
Criteria - PCL,Pest Control Locker,Criteria:,"Public Health and IPM Best Practice require a pest control locker to be available for the storage of professional IPM chemicals and equipment, which should have signed, restricted access, always be locked, and not be situated in a food area."
IPM Plan - PCL,Pest Control Locker,IPM Plan:,This is the PCL IPM Plan Text for testing!
Criteria - Galley,Galley Standards,Criteria:,"The galley department, with vast volumes of food being prepared, is a high-risk pest area. Good IPM standards should be maintained, with galley personnel promptly reporting any pest issues and logging any such incidents."
IPM Plan - Galley,Galley Standards,IPM Plan:,IPM Plan Galley Stds - XXXXXXXXXXXXX 40/1/8.1.1.4
Criteria - Messes,Mess Standards,Criteria:,Mess Standards Criteria: Text example
IPM Plan - Messes,Mess Standards,IPM Plan:,Mess Standards IPM Plan: Text example
Criteria - Bars,Bar Standards,Criteria:,Bar Standards Criteria: Text example
IPM Plan - Bars,Bar Standards,IPM Plan:,Bar Standards IPM Plan: Text example
Criteria - Rest,Restaurant Standards,Criteria:,Restaurant Standards Criteria: Text example
IPM Plan - Rest,Restaurant Standards,IPM Plan:,Restaurant Standards IPM Plan: Text example
Criteria - Recycling Centre,Rycycling Centre Standards,Criteria:,Rycycling Centre Standards Criteria: Text example
IPM Plan - Recycling Centre,Rycycling Centre Standards,IPM Plan:,Rycycling Centre Standards IPM Plan: Text example
Criteria - Housekeeping,Housekeeping Standards,Criteria:,Housekeeping Standards Criteria: Text example
IPM Plan - Housekeeping,Housekeeping Standards,IPM Plan:,Housekeeping Standards IPM Plan: Text example
Criteria - Laundry,Laundry Standards,Criteria:,Laundry Standards Criteria: Text example
IPM Plan - Laundry,Laundry Standards,IPM Plan:,Laundry Standards IPM Plan: Text example
Criteria - Deck,Deck Standards,Criteria:,Deck Standards Criteria: Text example
IPM Plan - Deck,Deck Standards,IPM Plan:,Deck Standards IPM Plan: Text example
Criteria - Technical,Technical Standards,Criteria:,Technical Standards Criteria: Text example
IPM Plan - Technical,Technical Standards,IPM Plan:,Technical Standards IPM Plan: Text example
Criteria - EFK,Electric Fly Killers,Criteria:,"It is a public health requirement that electric fly killers installed in a department are correctly serviced & maintained. Weekly fly count, UV tubes, and glue boards are replaced on schedule according to the IPM Plan."
IPM Plan - EFK,Electric Fly Killers,IPM Plan:,Electric Fly Killer IPM Plan Text example
Criteria - EFK Future,Electric Fly Killer Future Changes,Criteria:,"In 2017, the electrical industry mandated the phase-out of Phosphor UV lamps by 2027, requiring all consumers to use Light Emitting Diode (LED) lamps instead. Phosphor Ultraviolet (UV) lamp production will cease as follows:&bull; Single-ended Phosphor           February 2025 (Already ceased production)&bull; Double-ended Phosphor         February 2027<br><br>Although there may be stockpiling of the UV tubes, consider starting to replace all the current fluorescent models with LED models, with the following benefits: &bull; LED UV lamps. However, appearing dimmer, they are, on average, 20% more attractive to flies. &bull; Average phosphor UV lamps go from 15 watts to 4 watts LED, about 70% power saving.&bull; LED UV lamps are changed every two years rather than six months; this is a significant cost and time-saving for the electrician. &bull; The ballast is in the UV tubes rather than the fly killer. Every UV lamp change, you effectively get a new Electric Fly Killer."
IPM Plan - EFK Future,Electric Fly Killer Future Changes,IPM Plan:,Electric Fly Killer IPM Plan Text example for future changes
Criteria - CRT,Cockroach Trap Monitoring,Criteria:,"It is a public health requirement to monitor any high-risk area for insect pests using sticky monitoring traps, although not all departments will have these traps, especially if there is no food present."
IPM Plan - CRT,Cockroach Trap Monitoring,IPM Plan:,XXXXXXXXXXXXX 40/1/8.1.1.4
Criteria - RG,Rat Guard Standards,Criteria:,"Exemplary installation of correctly sized rat guards on forward, aft, and bunker lines is essential, as if a rodent (rat or mouse) comes on board, this immediately compromises the Ship Sanitation Control Exemption Certificate (formerly known as a De-Rat Certificate). Public Health Authorities require being informed about such infestations, and in some countries, ships may be fined if they do not protect all mooring and spring lines with rat guards."
IPM Plan - RG,Rat Guard Standards,IPM Plan:,IPM Plan for Rat Guards
